timestamp,voltage
20240610_191906,"2
"
20240610_191909,"3
"
20240610_191910,"4
"
20240610_191911,"3
"
20240610_191912,"3
"
20240610_191913,"3
"
20240610_191914,"3
"
20240610_191915,"2
"
20240610_191916,"3
"
20240610_191917,"2
"
20240610_191918,"2
"
20240610_191919,"3
"
20240610_191920,"3
"
20240610_191921,"3
"
20240610_191922,"2
"
20240610_191923,"4
"
20240610_191924,"5
"
20240610_191925,"4
"
20240610_191926,"130
"
20240610_191927,"5
"
20240610_191928,"3
"
20240610_191929,"4
"
20240610_191930,"3
"
